INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
7.60	0.00	1630	 
7.61	0.00	1640	 
7.62	0.00	1650	 
7.63	0.00	1660	 
7.64	0.00	1660	 
7.65	0.00	1670	 
7.66	0.00	1680	 
7.67	0.00	1690	 
7.68	0.00	1700	 
7.69	0.00	1710	 
7.70	0.00	1720	 
7.71	0.00	1730	 
7.72	0.00	1740	 
7.73	0.00	1750	 
7.74	0.00	1760	 
7.75	0.00	1770	 
7.76	0.00	1780	 
7.77	0.00	1790	 
7.78	0.00	1800	 
7.79	0.00	1810	 
7.80	0.00	1820	 
7.81	0.00	1830	 
7.82	0.00	1840	 
7.83	0.00	1850	 
7.84	0.00	1860	 
7.85	0.00	1870	 
7.86	0.00	1880	 
7.87	0.00	1890	 
7.88	0.00	1900	 
7.89	0.00	1910	 
7.90	0.00	1920	 
7.91	0.00	1930	 
7.92	0.00	1940	 
7.93	0.00	1950	 
7.94	0.00	1960	 
7.95	0.00	1970	 
7.96	0.00	1980	 
7.97	0.00	1990	 
7.98	0.00	2000	 
7.99	0.00	2020	 
8.00	0.00	2030	 
8.01	0.00	2040	 
8.02	0.00	2050	 
8.03	0.00	2060	 
8.04	0.00	2070	 
8.05	0.00	2080	 
8.06	0.00	2090	 
8.07	0.00	2100	 
8.08	0.00	2110	 
8.09	0.00	2120	 
8.10	0.00	2130	 
8.11	0.00	2140	 
8.12	0.00	2160	 
8.13	0.00	2170	 
8.14	0.00	2180	 
8.15	0.00	2190	 
8.16	0.00	2200	 
8.17	0.00	2210	 
8.18	0.00	2220	 
8.19	0.00	2230	 
8.20	0.00	2240	 
8.21	0.00	2260	 
8.22	0.00	2270	 
8.23	0.00	2280	 
8.24	0.00	2290	 
8.25	0.00	2300	 
8.26	0.00	2310	 
8.27	0.00	2320	 
8.28	0.00	2340	 
8.29	0.00	2350	 
8.30	0.00	2360	 
8.31	0.00	2370	 
8.32	0.00	2380	 
8.33	0.00	2390	 
8.34	0.00	2410	 
8.35	0.00	2420	 
8.36	0.00	2430	 
8.37	0.00	2440	 
8.38	0.00	2450	 
8.39	0.00	2470	 
8.40	0.00	2480	 
8.41	0.00	2490	 
8.42	0.00	2500	 
8.43	0.00	2510	 
8.44	0.00	2530	 
8.45	0.00	2540	 
8.46	0.00	2550	 
8.47	0.00	2560	 
8.48	0.00	2570	 
8.49	0.00	2590	 
8.50	0.00	2600	 
8.51	0.00	2610	 
8.52	0.00	2620	 
8.53	0.00	2640	 
8.54	0.00	2650	 
8.55	0.00	2660	 
8.56	0.00	2670	 
8.57	0.00	2690	 
8.58	0.00	2700	 
8.59	0.00	2710	 
8.60	0.00	2720	 
8.61	0.00	2740	 
8.62	0.00	2750	 
8.63	0.00	2760	 
8.64	0.00	2770	 
8.65	0.00	2790	 
8.66	0.00	2800	 
8.67	0.00	2810	 
8.68	0.00	2830	 
8.69	0.00	2840	 
8.70	0.00	2850	 
8.71	0.00	2860	 
8.72	0.00	2880	 
8.73	0.00	2890	 
8.74	0.00	2900	 
8.75	0.00	2920	 
8.76	0.00	2930	 
8.77	0.00	2940	 
8.78	0.00	2960	 
8.79	0.00	2970	 
8.80	0.00	2980	 
8.81	0.00	3000	 
8.82	0.00	3010	 
8.83	0.00	3020	 
8.84	0.00	3040	 
8.85	0.00	3050	 
8.86	0.00	3060	 
8.87	0.00	3080	 
8.88	0.00	3090	 
8.89	0.00	3110	 
8.90	0.00	3120	 
8.91	0.00	3130	 
8.92	0.00	3150	 
8.93	0.00	3160	 
8.94	0.00	3170	 
8.95	0.00	3190	 
8.96	0.00	3200	 
8.97	0.00	3220	 
8.98	0.00	3230	 
8.99	0.00	3240	 
9.00	0.00	3260	*
9.01	0.00	3270	 
9.02	0.00	3290	 
9.03	0.00	3300	 
9.04	0.00	3320	 
9.05	0.00	3330	 
9.06	0.00	3350	 
9.07	0.00	3360	 
9.08	0.00	3380	 
9.09	0.00	3390	 
9.10	0.00	3410	*
9.11	0.00	3430	 
9.12	0.00	3440	 
9.13	0.00	3460	 
9.14	0.00	3480	 
9.15	0.00	3490	 
9.16	0.00	3510	 
9.17	0.00	3530	 
9.18	0.00	3550	 
9.19	0.00	3560	 
9.20	0.00	3580	*
9.21	0.00	3600	 
9.22	0.00	3620	 
9.23	0.00	3640	 
9.24	0.00	3660	 
9.25	0.00	3670	 
9.26	0.00	3690	 
9.27	0.00	3710	 
9.28	0.00	3730	 
9.29	0.00	3750	 
9.30	0.00	3770	*
9.31	0.00	3790	 
9.32	0.00	3820	 
9.33	0.00	3840	 
9.34	0.00	3860	 
9.35	0.00	3880	 
9.36	0.00	3910	 
9.37	0.00	3930	 
9.38	0.00	3950	 
9.39	0.00	3980	 
9.40	0.00	4000	*
9.41	0.00	4030	 
9.42	0.00	4050	 
9.43	0.00	4080	 
9.44	0.00	4100	 
9.45	0.00	4130	 
9.46	0.00	4150	 
9.47	0.00	4180	 
9.48	0.00	4210	 
9.49	0.00	4230	 
9.50	0.00	4260	*
9.51	0.00	4290	 
9.52	0.00	4320	 
9.53	0.00	4350	 
9.54	0.00	4380	 
9.55	0.00	4400	 
9.56	0.00	4430	 
9.57	0.00	4460	 
9.58	0.00	4490	 
9.59	0.00	4520	 
9.60	0.00	4550	 
9.61	0.00	4580	 
9.62	0.00	4610	 
9.63	0.00	4640	 
9.64	0.00	4670	 
9.65	0.00	4710	 
9.66	0.00	4740	 
9.67	0.00	4770	 
9.68	0.00	4800	 
9.69	0.00	4830	 
9.70	0.00	4860	 
9.71	0.00	4890	 
9.72	0.00	4920	 
9.73	0.00	4960	 
9.74	0.00	4990	 
9.75	0.00	5020	 
9.76	0.00	5050	 
9.77	0.00	5090	 
9.78	0.00	5120	 
9.79	0.00	5150	 
9.80	0.00	5190	 
9.81	0.00	5220	 
9.82	0.00	5250	 
9.83	0.00	5290	 
9.84	0.00	5320	 
9.85	0.00	5350	 
9.86	0.00	5390	 
9.87	0.00	5420	 
9.88	0.00	5460	 
9.89	0.00	5490	 
9.90	0.00	5520	 
9.91	0.00	5560	 
9.92	0.00	5590	 
9.93	0.00	5630	 
9.94	0.00	5670	 
9.95	0.00	5700	 
9.96	0.00	5740	 
9.97	0.00	5770	 
9.98	0.00	5810	 
9.99	0.00	5850	 
10.00	0.00	5880	 
10.01	0.00	5920	 
10.02	0.00	5950	 
10.03	0.00	5990	 
10.04	0.00	6030	 
10.05	0.00	6070	 
10.06	0.00	6100	 
10.07	0.00	6140	 
10.08	0.00	6180	 
10.09	0.00	6220	 
10.10	0.00	6260	 
10.11	0.00	6290	 
10.12	0.00	6330	 
10.13	0.00	6370	 
10.14	0.00	6410	 
10.15	0.00	6450	 
10.16	0.00	6490	 
10.17	0.00	6530	 
10.18	0.00	6570	 
10.19	0.00	6610	 
10.20	0.00	6650	 
10.21	0.00	6690	 
10.22	0.00	6730	 
10.23	0.00	6770	 
10.24	0.00	6810	 
10.25	0.00	6850	 
10.26	0.00	6890	 
10.27	0.00	6930	 
10.28	0.00	6970	 
10.29	0.00	7010	 
10.30	0.00	7060	 
10.31	0.00	7100	 
